Date,Beef rib cuts,Beef stewing cuts,Beef striploin cuts,Beef top sirloin cuts,Ground beef,Total value,Total value change,Beef rib cuts change,Beef stewing cuts change,Beef striploin cuts change,Beef top sirloin cuts change,Ground beef cuts change
2019-04,16.48,13.95,15.94,13.58,9.32,69.27,,,,,,
2019-05,23.76,14.64,17.99,16.82,9.33,82.54,0.19156922188537617,0.441747572815534,0.04946236559139794,0.12860727728983679,0.23858615611192935,0.0010729613733906351
2019-06,21.14,14.92,19.19,15.68,9.53,80.46000000000001,-0.025199903077295804,-0.1102693602693603,0.0191256830601092,0.06670372429127314,-0.06777645659928655,0.02143622722400851
2019-07,23.05,14.44,19.26,14.97,9.45,81.17,0.008824260502112713,0.09035004730368978,-0.03217158176943702,0.0036477331943720603,-0.04528061224489788,-0.008394543546694666
2019-08,22.98,14.62,18.42,12.36,9.73,78.11,-0.03769865713933718,-0.0030368763557483414,0.012465373961218829,-0.04361370716510904,-0.17434869739478964,0.029629629629629672
2019-09,23.19,14.54,16.94,14.1,8.63,77.39999999999999,-0.009089745231084523,0.009138381201044377,-0.005471956224350261,-0.08034744842562436,0.14077669902912615,-0.11305241521068854
2019-10,14.76,13.85,18.9,15.68,9.66,72.85,-0.05878552971576223,-0.3635187580853817,-0.047455295735900904,0.11570247933884281,0.11205673758865253,0.11935110081112388
2019-11,21.71,14.47,15.49,14.31,10.56,76.54,0.05065202470830488,0.47086720867208687,0.04476534296028878,-0.18042328042328037,-0.08737244897959184,0.0931677018633541
2019-12,13.9,15.51,17.67,10.96,9.55,67.59,-0.11693232296838252,-0.3597420543528328,0.07187284035936403,0.14073595868302147,-0.23410202655485668,-0.09564393939393934
2020-01,22.49,13.85,18.74,13.68,9.48,78.24,0.15756768752774075,0.6179856115107911,-0.10702772404900063,0.060554612337294644,0.24817518248175174,-0.007329842931937169
2020-02,26.44,14.65,19.5,13.43,9.54,83.56,0.06799591002044991,0.17563361493997354,0.057761732851985714,0.04055496264674496,-0.018274853801169555,0.006329113924050445
2020-03,20.5,15.38,20.24,16.47,10.01,82.60000000000001,-0.0114887505983724,-0.22465960665658102,0.04982935153583612,0.0379487179487179,0.22635889798957542,0.04926624737945495
2020-04,17.35,14.95,18.3,13.78,11.05,75.42999999999999,-0.08680387409200985,-0.15365853658536577,-0.027958387516255012,-0.09584980237154139,-0.16332726168791745,0.10389610389610393
2020-05,23.21,18.25,21.32,16.85,12.04,91.66999999999999,0.2152989526713509,0.33775216138328523,0.22073578595317733,0.16502732240437146,0.22278664731494935,0.08959276018099538
2020-06,22.54,19.39,34.02,20.74,11.12,107.81,0.17606632486091423,-0.028866867729427037,0.062465753424657544,0.5956848030018762,0.2308605341246288,-0.07641196013289031
2020-07,23.95,18.31,21.63,16.31,10.33,90.53,-0.1602819775531027,0.06255545696539477,-0.05569881382155761,-0.3641975308641976,-0.2135969141755063,-0.07104316546762579
2020-08,25.74,15.84,24.57,13.98,8.81,88.94000000000001,-0.01756323870540144,0.07473903966597084,-0.13489896231567444,0.13592233009708754,-0.1428571428571428,-0.1471442400774443
2020-09,25.42,14.52,19.17,12.83,9.01,80.95,-0.08983584438947612,-0.012432012432012307,-0.08333333333333337,-0.21978021978021967,-0.08226037195994285,0.022701475595913623
2020-10,15.6,15.21,21.44,10.91,9.44,72.6,-0.10315009264978392,-0.3863099921321794,0.04752066115702491,0.11841418883672405,-0.1496492595479345,0.04772475027746936
2020-11,23.76,15.75,18.59,14.45,9.53,82.08000000000001,0.1305785123966945,0.5230769230769232,0.035502958579881616,-0.13292910447761197,0.3244729605866177,0.009533898305084776
2020-12,16.53,15.22,20.14,11.43,9.89,73.21000000000001,-0.10806530214424959,-0.3042929292929293,-0.0336507936507936,0.08337816030123735,-0.20899653979238753,0.03777544596012605
2021-01,24.79,15.19,20.66,13.88,9.21,83.72999999999999,0.1436962163638844,0.4996975196612219,-0.001971090670170872,0.02581926514399213,0.21434820647419084,-0.06875631951466121
2021-02,22.71,15.2,20.7,13.52,8.42,80.55,-0.03797921891795042,-0.08390480032271075,0.0006583278472678256,0.0019361084220717029,-0.025936599423631246,-0.08577633007600438
2021-03,18.58,14.38,24.71,14.6,9.09,81.36,0.010055865921787754,-0.1818582122413035,-0.05394736842105252,0.19371980676328504,0.0798816568047338,0.07957244655581941
2021-04,22.25,15.54,22.4,17.24,8.92,86.35,0.06133235004916404,0.19752421959095812,0.08066759388038935,-0.09348441926345619,0.1808219178082191,-0.018701870187018743
